date,state,district,pincode,bio_age_5_17,bio_age_17_
02-01-2026,Delhi,Central Delhi,110008,21,24
02-01-2026,Delhi,East Delhi,110051,24,35
02-01-2026,Delhi,North Delhi,110054,11,20
02-01-2026,Delhi,North West Delhi,110033,34,78
02-01-2026,Delhi,North West Delhi,110042,69,111
02-01-2026,Delhi,North West Delhi,110052,33,18
02-01-2026,Delhi,North West Delhi,110086,170,238
02-01-2026,Delhi,Shahdara,110032,3,5
02-01-2026,Delhi,South Delhi,110017,30,28
02-01-2026,Delhi,South Delhi,110068,9,10
02-01-2026,Delhi,South Delhi,110074,20,26
02-01-2026,Delhi,South Delhi,110080,9,6
02-01-2026,Delhi,South East Delhi,110025,0,1
02-01-2026,Delhi,South West Delhi,110038,3,2
02-01-2026,Delhi,South West Delhi,110045,55,43
02-01-2026,Delhi,South West Delhi,110066,0,2
02-01-2026,Delhi,West Delhi,110058,18,15
02-01-2026,Delhi,West Delhi,110063,15,21
03-01-2026,Delhi,Central Delhi,110002,4,6
03-01-2026,Delhi,East Delhi,110031,4,2
03-01-2026,Delhi,East Delhi,110051,4,4
03-01-2026,Delhi,East Delhi,110053,3,2
03-01-2026,Delhi,East Delhi,110096,9,3
03-01-2026,Delhi,North Delhi,110084,11,13
03-01-2026,Delhi,North East,110053,2,15
03-01-2026,Delhi,North West Delhi,110009,5,6
03-01-2026,Delhi,North West Delhi,110035,1,3
03-01-2026,Delhi,North West Delhi,110082,1,4
03-01-2026,Delhi,North West Delhi,110083,2,5
03-01-2026,Delhi,North West Delhi,110085,8,9
03-01-2026,Delhi,North West Delhi,110086,41,29
03-01-2026,Delhi,South West Delhi,110043,12,11
03-01-2026,Delhi,South West Delhi,110045,10,7
03-01-2026,Delhi,South West Delhi,110057,1,2
03-01-2026,Delhi,South West Delhi,110073,3,1
03-01-2026,Delhi,West Delhi,110018,9,9
03-01-2026,Delhi,West Delhi,110041,6,12
03-01-2026,Delhi,West Delhi,110059,19,18
13-12-2025,Delhi,North West Delhi,110094,0,1
29-12-2025,Delhi,East Delhi,110092,52,37
29-12-2025,Delhi,North East Delhi,110032,23,12
29-12-2025,Delhi,North West Delhi,110083,18,34
29-12-2025,Delhi,North West Delhi,110086,141,196
29-12-2025,Delhi,North West Delhi,110088,21,20
29-12-2025,Delhi,Shahdara,110053,0,2
29-12-2025,Delhi,Shahdara,110093,4,9
29-12-2025,Delhi,South Delhi,110016,5,6
29-12-2025,Delhi,South Delhi,110017,15,21
29-12-2025,Delhi,South Delhi,110020,7,13
29-12-2025,Delhi,South Delhi,110048,6,6
29-12-2025,Delhi,South Delhi,110062,70,59
29-12-2025,Delhi,South East Delhi,110025,1,5
29-12-2025,Delhi,South West Delhi,110030,3,1
29-12-2025,Delhi,South West Delhi,110067,2,2
29-12-2025,Delhi,South West Delhi,110072,7,7
29-12-2025,Delhi,South West Delhi,110073,8,6
29-12-2025,Delhi,West Delhi,110041,63,87
29-12-2025,Delhi,West Delhi,110059,84,64
28-12-2025,Delhi,Central Delhi,110003,1,3
28-12-2025,Delhi,Central Delhi,110055,5,8
28-12-2025,Delhi,East Delhi,110031,13,13
28-12-2025,Delhi,North Delhi,110007,14,13
28-12-2025,Delhi,North East,110093,5,14
28-12-2025,Delhi,North East Delhi,110053,76,57
28-12-2025,Delhi,North West Delhi,110081,14,30
28-12-2025,Delhi,North West Delhi,110083,19,15
28-12-2025,Delhi,North West Delhi,110085,46,18
28-12-2025,Delhi,South Delhi,110014,5,4
28-12-2025,Delhi,South Delhi,110065,1,11
28-12-2025,Delhi,South Delhi,110074,8,12
28-12-2025,Delhi,South Delhi,110076,10,5
28-12-2025,Delhi,South West Delhi,110023,5,6
28-12-2025,Delhi,South West Delhi,110064,6,9
28-12-2025,Delhi,South West Delhi,110070,6,4
28-12-2025,Delhi,South West Delhi,110075,3,7
28-12-2025,Delhi,West Delhi,110018,16,38
28-12-2025,Delhi,West Delhi,110041,50,71
25-12-2025,Delhi,Najafgarh,110043,1,3
25-12-2025,Delhi,North East Delhi,110090,1,0
27-12-2025,Delhi,Central Delhi,110008,26,16
27-12-2025,Delhi,East Delhi,110053,18,2
27-12-2025,Delhi,New Delhi,110001,15,6
27-12-2025,Delhi,North Delhi,110007,31,23
27-12-2025,Delhi,North West Delhi,110036,35,41
27-12-2025,Delhi,North West Delhi,110052,40,21
27-12-2025,Delhi,North West Delhi,110081,41,67
27-12-2025,Delhi,North West Delhi,110083,38,54
27-12-2025,Delhi,North West Delhi,110094,0,1
27-12-2025,Delhi,Shahdara,110093,6,7
27-12-2025,Delhi,South Delhi,110014,16,6
27-12-2025,Delhi,South Delhi,110017,33,21
