date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Daman and Diu,Daman,396215,13,32
01-03-2025,Daman and Diu,Daman,396210,248,169
01-04-2025,Daman and Diu,Diu,362520,58,20
01-04-2025,Daman and Diu,Diu,362540,77,16
01-05-2025,Daman and Diu,Diu,362570,164,76
26-10-2025,Daman and Diu,Daman,396220,3,1
18-10-2025,Daman and Diu,Diu,362540,0,1
02-11-2025,Daman and Diu,Diu,362570,0,1
03-11-2025,Daman and Diu,Daman,396215,1,0
05-11-2025,Daman and Diu,Daman,396220,3,0
05-11-2025,Daman and Diu,Diu,362540,2,0
25-12-2025,Daman and Diu,Diu,362570,5,2
27-12-2025,Daman and Diu,Daman,396215,2,0
28-12-2025,Daman and Diu,Daman,396210,4,4
29-12-2025,Daman and Diu,Daman,396220,0,1
01-01-2026,Daman and Diu,Diu,362520,1,0
03-01-2026,Daman and Diu,Daman,396215,1,0
06-12-2025,Daman and Diu,Diu,362520,0,1
10-12-2025,Daman and Diu,Diu,362540,0,1
04-10-2025,Daman and Diu,Daman,396220,0,1
19-10-2025,Daman and Diu,Daman,396210,0,1
20-08-2025,Daman and Diu,Daman,396215,0,3
15-08-2025,Daman and Diu,Daman,396210,0,1
09-08-2025,Daman and Diu,Daman,396210,2,2
09-08-2025,Daman and Diu,Diu,362520,0,1
10-08-2025,Daman and Diu,Diu,362570,2,1
10-10-2025,Daman and Diu,Daman,396215,0,2
13-10-2025,Daman and Diu,Daman,396210,18,7
13-10-2025,Daman and Diu,Daman,396215,1,0
12-10-2025,Daman and Diu,Daman,396210,6,7
12-10-2025,Daman and Diu,Daman,396215,0,1
16-10-2025,Daman and Diu,Daman,396220,1,1
05-11-2025,Daman and Diu,Daman,396210,1,0
06-11-2025,Daman and Diu,Daman,396220,2,1
13-11-2025,Daman and Diu,Daman,396210,10,6
17-11-2025,Daman and Diu,Daman,396220,2,0
17-11-2025,Daman and Diu,Diu,362520,14,2
17-11-2025,Daman and Diu,Diu,362540,30,3
16-11-2025,Daman and Diu,Daman,396210,1,2
10-11-2025,Daman and Diu,Daman,396210,5,12
10-11-2025,Daman and Diu,Diu,362540,9,1
14-11-2025,Daman and Diu,Daman,396210,10,8
14-11-2025,Daman and Diu,Diu,362520,3,0
15-11-2025,Daman and Diu,Daman,396215,0,1
15-11-2025,Daman and Diu,Diu,362570,5,0
17-10-2025,Daman and Diu,Daman,396210,4,8
22-10-2025,Daman and Diu,Daman,396210,0,2
03-11-2025,Daman and Diu,Diu,362540,3,3
30-09-2025,Daman and Diu,Diu,362570,1,3
06-10-2025,Daman and Diu,Daman,396220,1,2
06-10-2025,Daman and Diu,Diu,362540,1,0
15-10-2025,Daman and Diu,Daman,396220,0,2
27-10-2025,Daman and Diu,Daman,396220,3,0
03-10-2025,Daman and Diu,Diu,362540,3,0
08-10-2025,Daman and Diu,Daman,396220,1,1
07-10-2025,Daman and Diu,Diu,362570,1,1
01-11-2025,Daman and Diu,Daman,396210,7,6
31-10-2025,Daman and Diu,Daman,396220,1,0
29-10-2025,Daman and Diu,Daman,396220,4,2
28-10-2025,Daman and Diu,Daman,396220,1,0
09-10-2025,Daman and Diu,Daman,396210,7,9
09-10-2025,Daman and Diu,Diu,362520,2,0
25-10-2025,Daman and Diu,Diu,362570,0,1
24-10-2025,Daman and Diu,Daman,396215,0,3
24-10-2025,Daman and Diu,Daman,396220,2,4
03-12-2025,Daman and Diu,Daman,396210,5,5
03-12-2025,Daman and Diu,Daman,396220,6,8
05-12-2025,Daman and Diu,Daman,396210,8,6
05-12-2025,Daman and Diu,Diu,362540,0,2
22-11-2025,Daman and Diu,Diu,362570,9,0
21-11-2025,Daman and Diu,Daman,396220,4,1
21-11-2025,Daman and Diu,Diu,362520,3,1
08-12-2025,Daman and Diu,Daman,396220,4,4
08-12-2025,Daman and Diu,Diu,362520,1,1
26-11-2025,Daman and Diu,Daman,396210,2,7
29-11-2025,Daman and Diu,Daman,396210,15,9
19-11-2025,Daman and Diu,Daman,396210,7,6
23-11-2025,Daman and Diu,Daman,396210,1,1
24-11-2025,Daman and Diu,Daman,396220,0,3
24-11-2025,Daman and Diu,Diu,362540,1,0
25-11-2025,Daman and Diu,Diu,362520,0,1
25-11-2025,Daman and Diu,Diu,362540,0,1
27-11-2025,Daman and Diu,Diu,362540,1,3
27-11-2025,Daman and Diu,Diu,362570,10,4
15-12-2025,Daman and Diu,Daman,396210,2,7
13-12-2025,Daman and Diu,Daman,396215,0,3
10-12-2025,Daman and Diu,Daman,396210,6,6
10-12-2025,Daman and Diu,Daman,396215,0,1
18-10-2025,Daman and Diu,Daman,396220,0,1
03-06-2025,Daman and Diu,Daman,396220,0,1
05-07-2025,Daman and Diu,Daman,396220,0,1
20-05-2025,Daman and Diu,Diu,362520,1,0
30-05-2025,Daman and Diu,Daman,396215,0,1
12-07-2025,Daman and Diu,Diu,362520,0,1
08-08-2025,Daman and Diu,Daman,396215,0,1
26-07-2025,Daman and Diu,Diu,362520,0,1
04-08-2025,Daman and Diu,Diu,362540,1,0
12-08-2025,Daman and Diu,Diu,362520,1,0
12-08-2025,Daman and Diu,Diu,362540,4,1
21-07-2025,Daman and Diu,Diu,362570,8,9
22-07-2025,Daman and Diu,Daman,396220,5,3
07-08-2025,Daman and Diu,Daman,396220,2,2
18-08-2025,Daman and Diu,Daman,396215,0,1
21-08-2025,Daman and Diu,Daman,396210,4,6
20-08-2025,Daman and Diu,Diu,362570,4,7
24-08-2025,Daman and Diu,Daman,396210,1,4
05-08-2025,Daman and Diu,Daman,396210,13,7
05-08-2025,Daman and Diu,Daman,396215,0,2
25-07-2025,Daman and Diu,Daman,396210,0,6
25-07-2025,Daman and Diu,Daman,396215,0,2
24-07-2025,Daman and Diu,Diu,362540,0,3
29-07-2025,Daman and Diu,Daman,396220,1,0
29-07-2025,Daman and Diu,Diu,362570,14,32
11-08-2025,Daman and Diu,Diu,362540,1,1
28-07-2025,Daman and Diu,Daman,396220,4,1
01-08-2025,Daman and Diu,Daman,396220,9,5
30-07-2025,Daman and Diu,Daman,396210,5,5
30-07-2025,Daman and Diu,Diu,362540,2,1
30-07-2025,Daman and Diu,Diu,362570,4,9
31-07-2025,Daman and Diu,Daman,396220,1,0
08-08-2025,Daman and Diu,Diu,362520,1,6
08-09-2025,Daman and Diu,Daman,396215,2,1
08-09-2025,Daman and Diu,Daman,396220,3,1
08-09-2025,Daman and Diu,Diu,362540,1,1
16-09-2025,Daman and Diu,Daman,396215,1,1
16-09-2025,Daman and Diu,Diu,362570,6,5
17-09-2025,Daman and Diu,Diu,362570,11,7
18-09-2025,Daman and Diu,Daman,396220,11,4
18-09-2025,Daman and Diu,Diu,362570,4,5
27-08-2025,Daman and Diu,Daman,396210,4,2
28-08-2025,Daman and Diu,Daman,396210,9,7
31-08-2025,Daman and Diu,Daman,396215,1,0
02-09-2025,Daman and Diu,Diu,362570,2,1
01-10-2025,Daman and Diu,Daman,396210,2,1
14-09-2025,Daman and Diu,Daman,396215,1,0
15-09-2025,Daman and Diu,Daman,396220,4,0
15-09-2025,Daman and Diu,Diu,362520,2,0
15-09-2025,Daman and Diu,Diu,362570,4,3
25-09-2025,Daman and Diu,Diu,362520,1,0
25-09-2025,Daman and Diu,Diu,362540,3,0
09-09-2025,Daman and Diu,Diu,362570,1,0
12-09-2025,Daman and Diu,Daman,396210,36,13
24-09-2025,Daman and Diu,Daman,396220,4,2
24-09-2025,Daman and Diu,Diu,362520,2,1
19-09-2025,Daman and Diu,Diu,362570,8,5
22-09-2025,Daman and Diu,Daman,396215,2,3
22-09-2025,Daman and Diu,Diu,362570,7,4
29-08-2025,Daman and Diu,Diu,362570,2,4
30-08-2025,Daman and Diu,Diu,362570,1,1
03-09-2025,Daman and Diu,Daman,396220,2,0
04-09-2025,Daman and Diu,Diu,362520,1,1
21-05-2025,Daman and Diu,Daman,396220,0,1
23-05-2025,Daman and Diu,Daman,396210,4,4
