date,state,district,pincode,demo_age_5_17,demo_age_17_
17-10-2025,Haryana,Ambala,133021,0,2
17-10-2025,Haryana,Ambala,134003,4,24
17-10-2025,Haryana,Bhiwani,127030,0,5
17-10-2025,Haryana,Bhiwani,127041,1,1
17-10-2025,Haryana,Bhiwani,127042,0,4
17-10-2025,Haryana,Charkhi Dadri,127030,0,1
17-10-2025,Haryana,Fatehabad,125048,1,5
17-10-2025,Haryana,Gurgaon,122004,1,20
17-10-2025,Haryana,Gurgaon,122006,0,15
17-10-2025,Haryana,Gurgaon,122007,0,1
17-10-2025,Haryana,Gurgaon,122413,2,9
17-10-2025,Haryana,Gurgaon,122506,0,21
17-10-2025,Haryana,Hisar,125004,1,4
17-10-2025,Haryana,Hisar,125042,0,9
17-10-2025,Haryana,Hisar,125047,0,11
17-10-2025,Haryana,Hisar,125049,1,6
17-10-2025,Haryana,Jhajjar,124109,0,5
17-10-2025,Haryana,Jhajjar,124202,1,2
17-10-2025,Haryana,Jind,126102,3,27
17-10-2025,Haryana,Jind,126152,0,6
17-10-2025,Haryana,Kaithal,136021,0,4
17-10-2025,Haryana,Kaithal,136033,1,10
17-10-2025,Haryana,Karnal,132001,10,75
17-10-2025,Haryana,Karnal,132037,0,4
17-10-2025,Haryana,Karnal,132040,1,3
17-10-2025,Haryana,Karnal,132046,1,1
17-10-2025,Haryana,Kurukshetra,136038,1,1
17-10-2025,Haryana,Kurukshetra,136119,1,10
17-10-2025,Haryana,Kurukshetra,136135,3,19
17-10-2025,Haryana,Mahendragarh,123001,1,21
17-10-2025,Haryana,Mahendragarh,123027,2,8
17-10-2025,Haryana,Mewat,122107,3,24
17-10-2025,Haryana,Mewat,122108,4,49
17-10-2025,Haryana,Mewat,122508,9,80
17-10-2025,Haryana,Palwal,121105,1,23
17-10-2025,Haryana,Panchkula,134102,2,17
17-10-2025,Haryana,Panchkula,134112,2,6
17-10-2025,Haryana,Panipat,132101,0,19
17-10-2025,Haryana,Panipat,132102,1,2
17-10-2025,Haryana,Panipat,132104,1,5
17-10-2025,Haryana,Panipat,132108,0,3
17-10-2025,Haryana,Rewari,123035,2,6
17-10-2025,Haryana,Rewari,123103,0,3
17-10-2025,Haryana,Rewari,123110,0,2
17-10-2025,Haryana,Rewari,123411,3,18
17-10-2025,Haryana,Rewari,123412,0,4
17-10-2025,Haryana,Rohtak,124113,1,5
17-10-2025,Haryana,Sirsa,125055,2,51
17-10-2025,Haryana,Sirsa,125058,0,4
17-10-2025,Haryana,Sonipat,131024,0,2
17-10-2025,Haryana,Sonipat,131302,0,3
17-10-2025,Haryana,Sonipat,131304,0,3
17-10-2025,Haryana,Sonipat,131306,0,3
17-10-2025,Haryana,Yamuna Nagar,133105,0,1
17-10-2025,Haryana,Yamuna Nagar,135101,1,16
17-10-2025,Haryana,Yamunanagar,135001,0,3
18-10-2025,Haryana,Ambala,133004,0,2
18-10-2025,Haryana,Bhiwani,127028,1,12
18-10-2025,Haryana,Bhiwani,127032,0,13
18-10-2025,Haryana,Bhiwani,127035,0,3
18-10-2025,Haryana,Bhiwani,127114,1,6
18-10-2025,Haryana,Charkhi Dadri,127025,0,2
18-10-2025,Haryana,Charkhi Dadri,127310,0,13
18-10-2025,Haryana,Faridabad,121004,29,176
18-10-2025,Haryana,Faridabad,121006,1,13
18-10-2025,Haryana,Faridabad,121008,0,4
18-10-2025,Haryana,Faridabad,121014,0,1
18-10-2025,Haryana,Fatehabad,125051,7,25
18-10-2025,Haryana,Gurgaon,122001,18,112
18-10-2025,Haryana,Gurgaon,122004,2,25
18-10-2025,Haryana,Gurgaon,122010,0,1
18-10-2025,Haryana,Gurgaon,122015,1,3
18-10-2025,Haryana,Gurgaon,122051,0,4
18-10-2025,Haryana,Gurgaon,122102,3,15
18-10-2025,Haryana,Hisar,125112,0,4
18-10-2025,Haryana,Jhajjar,124109,1,4
18-10-2025,Haryana,Jhajjar,124504,0,5
18-10-2025,Haryana,Jind,126102,7,43
18-10-2025,Haryana,Jind,126111,3,4
18-10-2025,Haryana,Kaithal,136027,6,58
18-10-2025,Haryana,Karnal,132001,17,75
18-10-2025,Haryana,Karnal,132037,1,5
18-10-2025,Haryana,Karnal,132041,0,10
18-10-2025,Haryana,Kurukshetra,136030,0,3
18-10-2025,Haryana,Kurukshetra,136128,1,15
18-10-2025,Haryana,Mahendragarh,123001,4,29
18-10-2025,Haryana,Mahendragarh,123034,0,7
18-10-2025,Haryana,Mewat,122508,9,100
18-10-2025,Haryana,Palwal,121102,6,107
18-10-2025,Haryana,Panchkula,134104,0,2
18-10-2025,Haryana,Panchkula,134204,0,6
18-10-2025,Haryana,Panipat,132103,32,123
18-10-2025,Haryana,Panipat,132122,1,1
18-10-2025,Haryana,Rohtak,124113,0,5
18-10-2025,Haryana,Rohtak,124201,0,1
18-10-2025,Haryana,Rohtak,124501,2,7
18-10-2025,Haryana,Sirsa,125055,5,37
18-10-2025,Haryana,Sirsa,125077,0,6
18-10-2025,Haryana,Sirsa,125101,0,2
18-10-2025,Haryana,Sonipat,131029,2,3
18-10-2025,Haryana,Sonipat,131102,0,6
18-10-2025,Haryana,Yamuna Nagar,133202,1,1
18-10-2025,Haryana,Yamuna Nagar,135001,9,64
18-10-2025,Haryana,Yamuna Nagar,135103,2,17
18-10-2025,Haryana,Yamuna Nagar,135133,0,16
19-10-2025,Haryana,Ambala,133202,1,0
19-10-2025,Haryana,Ambala,133203,2,7
19-10-2025,Haryana,Ambala,134202,1,8
19-10-2025,Haryana,Bhiwani,127022,0,4
19-10-2025,Haryana,Bhiwani,127027,3,8
19-10-2025,Haryana,Bhiwani,127030,0,4
19-10-2025,Haryana,Bhiwani,127035,1,3
19-10-2025,Haryana,Bhiwani,127043,0,1
19-10-2025,Haryana,Charkhi Dadri,127042,2,7
19-10-2025,Haryana,Faridabad,121002,8,56
19-10-2025,Haryana,Faridabad,121003,6,42
19-10-2025,Haryana,Faridabad,121012,0,3
19-10-2025,Haryana,Faridabad,121013,1,4
19-10-2025,Haryana,Fatehabad,125050,6,29
19-10-2025,Haryana,Fatehabad,125111,9,11
19-10-2025,Haryana,Gurgaon,122051,0,2
19-10-2025,Haryana,Gurgaon,122105,0,1
19-10-2025,Haryana,Gurgaon,122414,2,4
19-10-2025,Haryana,Gurgaon,122505,3,17
19-10-2025,Haryana,Hisar,125001,17,73
19-10-2025,Haryana,Hisar,125005,1,1
19-10-2025,Haryana,Hisar,125006,0,6
19-10-2025,Haryana,Hisar,125044,0,6
19-10-2025,Haryana,Hisar,125121,2,20
19-10-2025,Haryana,Jhajjar,124001,1,0
19-10-2025,Haryana,Jhajjar,124106,1,2
19-10-2025,Haryana,Jhajjar,124107,1,3
19-10-2025,Haryana,Jhajjar,124504,0,1
19-10-2025,Haryana,Jhajjar,124506,0,1
19-10-2025,Haryana,Jind,126112,3,12
19-10-2025,Haryana,Jind,126125,1,8
19-10-2025,Haryana,Karnal,132001,19,53
19-10-2025,Haryana,Karnal,132022,0,1
19-10-2025,Haryana,Karnal,132036,0,4
19-10-2025,Haryana,Karnal,132114,5,21
19-10-2025,Haryana,Karnal,132157,0,3
19-10-2025,Haryana,Kurukshetra,136135,5,21
19-10-2025,Haryana,Kurukshetra,136156,1,9
19-10-2025,Haryana,Mahendragarh,123027,3,6
19-10-2025,Haryana,Mewat,122103,4,8
19-10-2025,Haryana,Mewat,122107,3,39
19-10-2025,Haryana,Palwal,121004,0,6
19-10-2025,Haryana,Palwal,121106,3,34
19-10-2025,Haryana,Panchkula,134109,3,12
19-10-2025,Haryana,Panchkula,134116,3,10
19-10-2025,Haryana,Panchkula,134204,1,9
19-10-2025,Haryana,Panipat,132104,1,14
19-10-2025,Haryana,Panipat,132105,0,6
19-10-2025,Haryana,Panipat,132107,2,5
19-10-2025,Haryana,Panipat,132115,0,2
19-10-2025,Haryana,Rewari,123102,0,3
19-10-2025,Haryana,Rewari,123103,1,1
19-10-2025,Haryana,Rewari,123301,0,2
19-10-2025,Haryana,Rewari,123303,0,6
19-10-2025,Haryana,Rewari,123501,0,10
19-10-2025,Haryana,Rohtak,124021,1,4
19-10-2025,Haryana,Rohtak,124022,1,2
19-10-2025,Haryana,Rohtak,124201,0,2
19-10-2025,Haryana,Rohtak,124303,0,1
19-10-2025,Haryana,Sirsa,125076,1,12
19-10-2025,Haryana,Sirsa,125077,3,6
19-10-2025,Haryana,Sirsa,125101,2,2
19-10-2025,Haryana,Sonipat,131029,1,7
19-10-2025,Haryana,Sonipat,131039,2,5
19-10-2025,Haryana,Sonipat,131304,1,3
19-10-2025,Haryana,Sonipat,131305,3,1
19-10-2025,Haryana,Yamuna Nagar,133103,1,8
19-10-2025,Haryana,Yamunanagar,135001,0,2
27-10-2025,Haryana,Ambala,133021,1,1
27-10-2025,Haryana,Ambala,133102,0,8
27-10-2025,Haryana,Ambala,133202,0,2
27-10-2025,Haryana,Ambala,133205,0,5
27-10-2025,Haryana,Ambala,134201,1,5
27-10-2025,Haryana,Ambala,134202,0,10
27-10-2025,Haryana,Bhiwani,127022,0,1
27-10-2025,Haryana,Bhiwani,127027,0,4
27-10-2025,Haryana,Bhiwani,127041,0,8
27-10-2025,Haryana,Charkhi Dadri,127022,0,4
27-10-2025,Haryana,Charkhi Dadri,127030,1,1
27-10-2025,Haryana,Charkhi Dadri,127042,1,2
27-10-2025,Haryana,Faridabad,121010,1,7
27-10-2025,Haryana,Faridabad,121013,1,12
27-10-2025,Haryana,Faridabad,121102,0,2
27-10-2025,Haryana,Fatehabad,125047,0,5
27-10-2025,Haryana,Fatehabad,125120,3,19
27-10-2025,Haryana,Gurgaon,122004,0,20
27-10-2025,Haryana,Gurgaon,122018,2,13
27-10-2025,Haryana,Gurgaon,122103,1,20
